year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1970,Group 1,1970-05-31,12:00,Estadio Azteca,Mexico City,Mexico,Soviet Union,0,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 1,1970-06-03,16:00,Estadio Azteca,Mexico City,Belgium,El Salvador,3,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 1,1970-06-06,16:00,Estadio Azteca,Mexico City,Soviet Union,Belgium,4,1,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 1,1970-06-07,12:00,Estadio Azteca,Mexico City,Mexico,El Salvador,4,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 1,1970-06-10,16:00,Estadio Azteca,Mexico City,Soviet Union,El Salvador,2,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 1,1970-06-11,16:00,Estadio Azteca,Mexico City,Mexico,Belgium,1,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_1
1970,Group 2,1970-06-02,16:00,Estadio Cuauhtémoc,Puebla,Uruguay,Israel,2,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
1970,Group 2,1970-06-03,16:00,Estadio Luis Dosal,Toluca,Italy,Sweden,1,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
1970,Group 2,1970-06-06,16:00,Estadio Cuauhtémoc,Puebla,Uruguay,Italy,0,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
1970,Group 2,1970-06-07,12:00,Estadio Luis Dosal,Toluca,Sweden,Israel,1,1,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
1970,Group 2,1970-06-10,16:00,Estadio Cuauhtémoc,Puebla,Sweden,Uruguay,1,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
1970,Group 2,1970-06-11,16:00,Estadio Luis Dosal,Toluca,Italy,Israel,0,0,,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_Group_2
