year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2022,Group F,2022-12-01,18:00,Ahmad bin Ali Stadium,Al Rayyan,Croatia,Belgium,0,0,False,43984,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,Group F,2022-12-01,18:00,Al Thumama Stadium,Doha,Canada,Morocco,1,2,False,43102,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,Group G,2022-11-24,13:00,Al Janoub Stadium,Al Wakrah,Switzerland,Cameroon,1,0,False,39089,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group G,2022-11-24,22:00,Lusail Stadium,Lusail,Brazil,Serbia,2,0,False,88103,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group G,2022-11-28,13:00,Al Janoub Stadium,Al Wakrah,Cameroon,Serbia,3,3,False,39789,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group G,2022-11-28,19:00,Stadium 974,Doha,Brazil,Switzerland,1,0,False,43649,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group G,2022-12-02,22:00,Stadium 974,Doha,Serbia,Switzerland,2,3,False,41378,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group G,2022-12-02,22:00,Lusail Stadium,Lusail,Cameroon,Brazil,1,0,False,85986,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,Group H,2022-11-24,16:00,Education City Stadium,Al Rayyan,Uruguay,South Korea,0,0,False,41663,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Group H,2022-11-24,19:00,Stadium 974,Doha,Portugal,Ghana,3,2,False,42662,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Group H,2022-11-28,16:00,Education City Stadium,Al Rayyan,South Korea,Ghana,2,3,False,43983,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Group H,2022-11-28,22:00,Lusail Stadium,Lusail,Portugal,Uruguay,2,0,False,88668,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Group H,2022-12-02,18:00,Al Janoub Stadium,Al Wakrah,Ghana,Uruguay,0,2,False,43443,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Group H,2022-12-02,18:00,Education City Stadium,Al Rayyan,South Korea,Portugal,2,1,False,44097,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,Round of 16,2022-12-03,18:00,Khalifa International Stadium,Al Rayyan,Netherlands,United States,3,1,False,44846,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-03,22:00,Ahmad bin Ali Stadium,Al Rayyan,Argentina,Australia,2,1,False,45032,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-04,18:00,Al Thumama Stadium,Doha,France,Poland,3,1,False,40989,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-04,22:00,Al Bayt Stadium,Al Khor,England,Senegal,3,0,False,65985,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-05,18:00,Al Janoub Stadium,Al Wakrah,Japan,Croatia,1,1,True,42523,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-05,22:00,Stadium 974,Doha,Brazil,South Korea,4,1,False,43847,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-06,18:00,Education City Stadium,Al Rayyan,Morocco,Spain,0,0,True,44667,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Round of 16,2022-12-06,22:00,Lusail Stadium,Lusail,Portugal,Switzerland,6,1,False,83720,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Quarter-final,2022-12-09,18:00,Education City Stadium,Al Rayyan,Croatia,Brazil,1,1,True,43893,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Quarter-final,2022-12-09,22:00,Lusail Stadium,Lusail,Netherlands,Argentina,2,2,True,88235,,,,https://en.wikipedia.org/wiki/Battle_of_Lusail
2022,Quarter-final,2022-12-10,18:00,Al Thumama Stadium,Doha,Morocco,Portugal,1,0,False,44198,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Quarter-final,2022-12-10,22:00,Al Bayt Stadium,Al Khor,England,France,1,2,False,68895,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Semi-final,2022-12-13,22:00,Lusail Stadium,Lusail,Argentina,Croatia,3,0,False,88966,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Semi-final,2022-12-14,22:00,Al Bayt Stadium,Al Khor,France,Morocco,2,0,False,68294,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Third place,2022-12-17,18:00,Khalifa International Stadium,Al Rayyan,Croatia,Morocco,2,1,False,44137,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,Final,2022-12-18,18:00,Lusail Stadium,Lusail,Argentina,France,3,3,True,88966,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_final
