year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1998,Group A,1998-06-10,17:30,Stade de France,Saint-Denis,Brazil,Scotland,2,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group A,1998-06-10,21:00,Stade de la Mosson,Montpellier,Morocco,Norway,2,2,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group A,1998-06-16,17:30,Parc Lescure,Bordeaux,Scotland,Norway,1,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group A,1998-06-16,21:00,Stade de la Beaujoire,Nantes,Brazil,Morocco,3,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group A,1998-06-23,21:00,Stade Geoffroy-Guichard,Saint-Etienne,Scotland,Morocco,0,3,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group A,1998-06-23,21:00,Stade Velodrome,Marseille,Brazil,Norway,1,2,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A
1998,Group B,1998-06-11,17:30,Parc Lescure,Bordeaux,Italy,Chile,2,2,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group B,1998-06-11,21:00,Stadium Municipal,Toulouse,Cameroon,Austria,1,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group B,1998-06-17,17:30,Stade Geoffroy-Guichard,Saint-Etienne,Chile,Austria,1,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group B,1998-06-17,21:00,Stade de la Mosson,Montpellier,Italy,Cameroon,3,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group B,1998-06-23,16:00,Stade de France,Saint-Denis,Italy,Austria,2,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group B,1998-06-23,16:00,Stade de la Beaujoire,Nantes,Chile,Cameroon,1,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_B
1998,Group C,1998-06-12,17:30,Stade Felix-Bollaert,Lens,Saudi Arabia,Denmark,0,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group C,1998-06-12,21:00,Stade Velodrome,Marseille,France,South Africa,3,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group C,1998-06-18,17:30,Stadium Municipal,Toulouse,South Africa,Denmark,1,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group C,1998-06-18,21:00,Stade de France,Saint-Denis,France,Saudi Arabia,4,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group C,1998-06-24,16:00,Stade de Gerland,Lyon,France,Denmark,2,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group C,1998-06-24,16:00,Parc Lescure,Bordeaux,South Africa,Saudi Arabia,2,2,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_C
1998,Group D,1998-06-12,14:30,Stade de la Mosson,Montpellier,Paraguay,Bulgaria,0,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group D,1998-06-13,14:30,Stade de la Beaujoire,Nantes,Spain,Nigeria,2,3,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group D,1998-06-19,17:30,Parc des Princes,Paris,Nigeria,Bulgaria,1,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group D,1998-06-19,21:00,Stade Geoffroy-Guichard,Saint-Etienne,Spain,Paraguay,0,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group D,1998-06-24,21:00,Stadium Municipal,Toulouse,Nigeria,Paraguay,1,3,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group D,1998-06-24,21:00,Stade Felix-Bollaert,Lens,Spain,Bulgaria,6,1,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_D
1998,Group E,1998-06-13,17:30,Stade de Gerland,Lyon,South Korea,Mexico,1,3,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_E
1998,Group E,1998-06-13,21:00,Stade de France,Saint-Denis,Netherlands,Belgium,0,0,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_E
