year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1958,Group 1,1958-06-08,19:00,Malmö Stadion,Malmö,Argentina,West Germany,1,3,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1,1958-06-08,19:00,Örjans Vall,Halmstad,Northern Ireland,Czechoslovakia,1,0,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1,1958-06-11,19:00,Olympia,Helsingborg,West Germany,Czechoslovakia,2,2,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1,1958-06-11,19:00,Örjans Vall,Halmstad,Argentina,Northern Ireland,3,1,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1,1958-06-15,19:00,Malmö Stadion,Malmö,West Germany,Northern Ireland,2,2,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1,1958-06-15,19:00,Olympia,Helsingborg,Czechoslovakia,Argentina,6,1,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 1 play-off,1958-06-17,19:00,Malmö Stadion,Malmö,Northern Ireland,Czechoslovakia,2,1,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_1
1958,Group 2,1958-06-08,19:00,Idrottsparken,Norrköping,France,Paraguay,7,3,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
1958,Group 2,1958-06-08,19:00,Arosvallen,Västerås,Yugoslavia,Scotland,1,1,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
1958,Group 2,1958-06-11,19:00,Arosvallen,Västerås,Yugoslavia,France,3,2,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
1958,Group 2,1958-06-11,19:00,Idrottsparken,Norrköping,Paraguay,Scotland,3,2,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
1958,Group 2,1958-06-15,19:00,Eyravallen,Örebro,France,Scotland,2,1,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
1958,Group 2,1958-06-15,19:00,Tunavallen,Eskilstuna,Paraguay,Yugoslavia,3,3,,,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_Group_2
