year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1982,Group 3,1982-06-13,20:00,Camp Nou,Barcelona,Argentina,Belgium,0,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_3
1982,Group 1,1982-06-14,17:15,Balaídos,Vigo,Italy,Poland,0,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_1
1982,Group 6,1982-06-14,21:00,Estadio Ramón Sánchez Pizjuán,Seville,Brazil,Soviet Union,2,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_6
1982,Group 1,1982-06-15,17:15,Estadio de Riazor,A Coruña,Peru,Cameroon,0,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_1
1982,Group 3,1982-06-15,21:00,Nuevo Estadio (now Estadio Martínez Valero),Elche,Hungary,El Salvador,10,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_3
1982,Group 6,1982-06-15,21:00,La Rosaleda,Málaga,Scotland,New Zealand,5,2,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_6
1982,Group 2,1982-06-16,17:15,El Molinón,Gijón,West Germany,Algeria,1,2,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_2
1982,Group 4,1982-06-16,17:15,San Mamés (1913),Bilbao,England,France,3,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_4
1982,Group 5,1982-06-16,21:00,Estadio Luis Casanova (Mestalla),Valencia,Spain,Honduras,1,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_5
1982,Group 2,1982-06-17,17:15,Estadio Carlos Tartiere (1932),Oviedo,Chile,Austria,0,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_2
1982,Group 4,1982-06-17,17:15,Estadio José Zorrilla,Valladolid,Czechoslovakia,Kuwait,1,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_4
1982,Group 5,1982-06-17,21:00,La Romareda,Zaragoza,Yugoslavia,Northern Ireland,0,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_5
1982,Group 3,1982-06-18,21:00,Estadio José Rico Pérez,Alicante,Argentina,Hungary,4,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_3
1982,Group 1,1982-06-18,17:15,Balaídos,Vigo,Italy,Peru,1,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_1
1982,Group 6,1982-06-18,21:00,Estadio Benito Villamarín,Seville,Brazil,Scotland,4,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_6
1982,Group 2,1982-06-19,17:15,El Molinón,Gijón,West Germany,Chile,4,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_2
1982,Group 1,1982-06-19,17:15,Estadio de Riazor,A Coruña,Poland,Cameroon,0,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_1
1982,Group 3,1982-06-19,21:00,Nuevo Estadio (now Estadio Martínez Valero),Elche,Belgium,El Salvador,1,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_3
1982,Group 4,1982-06-20,17:15,San Mamés (1913),Bilbao,England,Czechoslovakia,2,0,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_4
1982,Group 2,1982-06-20,17:15,El Molinón,Gijón,West Germany,Chile,4,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_2
1982,Group 5,1982-06-20,21:00,Estadio Luis Casanova (Mestalla),Valencia,Spain,Yugoslavia,2,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_5
1982,Group 4,1982-06-21,17:15,Estadio José Zorrilla,Valladolid,France,Kuwait,4,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_4
1982,Group 2,1982-06-21,17:15,Estadio Carlos Tartiere (1932),Oviedo,Algeria,Austria,0,2,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_2
1982,Group 5,1982-06-21,21:00,La Romareda,Zaragoza,Honduras,Northern Ireland,1,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_5
1982,Group 1,1982-06-22,17:15,Estadio de Riazor,A Coruña,Poland,Peru,5,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_1
1982,Group 3,1982-06-22,21:00,Nuevo Estadio (now Estadio Martínez Valero),Elche,Belgium,Hungary,1,1,,,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_Group_3
