year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1962,Group 1,1962-05-30,15:00,Estadio Carlos Dittborn,Arica,Uruguay,Colombia,2,1,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 1,1962-05-31,15:00,Estadio Carlos Dittborn,Arica,Soviet Union,Yugoslavia,2,0,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 1,1962-06-02,15:00,Estadio Carlos Dittborn,Arica,Yugoslavia,Uruguay,3,1,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 1,1962-06-03,15:00,Estadio Carlos Dittborn,Arica,Soviet Union,Colombia,4,4,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 1,1962-06-06,15:00,Estadio Carlos Dittborn,Arica,Soviet Union,Uruguay,2,1,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 1,1962-06-07,15:00,Estadio Carlos Dittborn,Arica,Yugoslavia,Colombia,5,0,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_1
1962,Group 2,1962-05-30,15:00,Estadio Nacional,Santiago,Chile,Switzerland,3,1,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
1962,Group 2,1962-05-31,15:00,Estadio Nacional,Santiago,West Germany,Italy,0,0,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
1962,Group 2,1962-06-02,15:00,Estadio Nacional,Santiago,Chile,Italy,2,0,,2.0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
1962,Group 2,1962-06-03,15:00,Estadio Nacional,Santiago,West Germany,Switzerland,2,1,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
1962,Group 2,1962-06-06,15:00,Estadio Nacional,Santiago,West Germany,Chile,2,0,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
1962,Group 2,1962-06-07,15:00,Estadio Nacional,Santiago,Italy,Switzerland,3,0,,,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_Group_2
