year,round,match_no,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2018,Group D,39,2018-06-26,21:00,Saint Petersburg Stadium,Saint Petersburg,Nigeria,Argentina,1,2,False,64468,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,Group D,40,2018-06-26,21:00,Rostov Arena,Rostov-on-Don,Iceland,Croatia,1,2,False,43472,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,Group F,41,2018-06-27,17:00,Kazan Arena,Kazan,South Korea,Germany,2,0,False,41835,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,Group F,42,2018-06-27,19:00,Yekaterinburg Arena,Yekaterinburg,Mexico,Sweden,0,3,False,33061,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,Group E,43,2018-06-27,21:00,Otkritie Arena,Moscow,Serbia,Brazil,0,2,False,44190,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,Group E,44,2018-06-27,21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Switzerland,Costa Rica,2,2,False,43319,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,Group H,45,2018-06-28,17:00,Volgograd Arena,Volgograd,Japan,Poland,0,1,False,42189,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
2018,Group H,46,2018-06-28,18:00,Samara Arena,Samara,Senegal,Colombia,0,1,False,41970,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
2018,Group G,47,2018-06-28,20:00,Kaliningrad Stadium,Kaliningrad,England,Belgium,0,1,False,33973,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,Group G,48,2018-06-28,21:00,Mordovia Arena,Saransk,Panama,Tunisia,1,2,False,37168,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,Round of 16,49,2018-06-30,17:00,Kazan Arena,Kazan,France,Argentina,4,3,False,42873,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,50,2018-06-30,21:00,Fisht Olympic Stadium,Sochi,Uruguay,Portugal,2,1,False,44287,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,51,2018-07-01,17:00,Luzhniki Stadium,Moscow,Spain,Russia,1,1,True,78011,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,52,2018-07-01,21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Croatia,Denmark,1,1,True,40851,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,53,2018-07-02,18:00,Samara Arena,Samara,Brazil,Mexico,2,0,False,41970,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,54,2018-07-02,21:00,Rostov Arena,Rostov-on-Don,Belgium,Japan,3,2,False,41466,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,55,2018-07-03,17:00,Saint Petersburg Stadium,Saint Petersburg,Sweden,Switzerland,1,0,False,64042,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Round of 16,56,2018-07-03,21:00,Otkritie Arena,Moscow,Colombia,England,1,1,True,44190,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Quarter-final,57,2018-07-06,17:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Uruguay,France,0,2,False,43319,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Quarter-final,58,2018-07-06,21:00,Kazan Arena,Kazan,Brazil,Belgium,1,2,False,42873,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Quarter-final,59,2018-07-07,18:00,Samara Arena,Samara,Sweden,England,0,2,False,39991,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Quarter-final,60,2018-07-07,21:00,Fisht Olympic Stadium,Sochi,Russia,Croatia,2,2,True,44287,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Semi-final,61,2018-07-10,21:00,Saint Petersburg Stadium,Saint Petersburg,France,Belgium,1,0,False,64286,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Semi-final,62,2018-07-11,21:00,Luzhniki Stadium,Moscow,Croatia,England,2,1,True,78011,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Third place,63,2018-07-14,17:00,Saint Petersburg Stadium,Saint Petersburg,Belgium,England,2,0,False,64406,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage
2018,Final,64,2018-07-15,18:00,Luzhniki Stadium,Moscow,France,Croatia,4,2,False,78011,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_final
