year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
2010,Group A,2010-06-11,16:00,Soccer City (FNB Stadium),Johannesburg,South Africa,Mexico,1,1,3.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group A,2010-06-11,20:30,Cape Town Stadium (Green Point),Cape Town,Uruguay,France,0,0,7.0,1.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group A,2010-06-16,20:30,Loftus Versfeld Stadium,Pretoria,South Africa,Uruguay,0,3,3.0,1.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group A,2010-06-17,20:30,Peter Mokaba Stadium,Polokwane,France,Mexico,0,2,8.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group A,2010-06-22,16:00,Royal Bafokeng Stadium,Rustenburg,Mexico,Uruguay,0,1,2.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group A,2010-06-22,16:00,Free State Stadium,Bloemfontein,France,South Africa,1,2,2.0,1.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A
2010,Group B,2010-06-12,13:30,Nelson Mandela Bay Stadium,Port Elizabeth,South Korea,Greece,2,0,1.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group B,2010-06-12,16:00,Ellis Park Stadium,Johannesburg,Argentina,Nigeria,1,0,3.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group B,2010-06-17,13:30,Soccer City (FNB Stadium),Johannesburg,Argentina,South Korea,4,1,4.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group B,2010-06-17,16:00,Free State Stadium,Bloemfontein,Greece,Nigeria,2,1,6.0,1.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group B,2010-06-22,20:30,Moses Mabhida Stadium,Durban,Nigeria,South Korea,2,2,4.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group B,2010-06-22,20:30,Peter Mokaba Stadium,Polokwane,Greece,Argentina,0,2,2.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B
2010,Group C,2010-06-12,20:30,Royal Bafokeng Stadium,Rustenburg,England,United States,1,1,6.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C
2010,Group C,2010-06-13,13:30,Peter Mokaba Stadium,Polokwane,Algeria,Slovenia,0,1,4.0,1.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C
2010,Group C,2010-06-18,16:00,Ellis Park Stadium,Johannesburg,Slovenia,United States,2,2,5.0,0.0,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C
