year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
1994,Group A,1994-06-18,11:30,Pontiac Silverdome,Pontiac,United States,Switzerland,1,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group A,1994-06-18,16:30,Rose Bowl,Pasadena,Colombia,Romania,1,3,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group A,1994-06-22,16:00,Pontiac Silverdome,Pontiac,Romania,Switzerland,1,4,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group A,1994-06-22,16:30,Rose Bowl,Pasadena,United States,Colombia,2,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group A,1994-06-26,13:00,Stanford Stadium,Stanford,Switzerland,Colombia,0,2,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group A,1994-06-26,13:00,Rose Bowl,Pasadena,United States,Romania,0,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Group B,1994-06-19,16:30,Rose Bowl,Pasadena,Cameroon,Sweden,2,2,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group B,1994-06-20,13:00,Stanford Stadium,Stanford,Brazil,Russia,2,0,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group B,1994-06-24,13:00,Stanford Stadium,Stanford,Brazil,Cameroon,3,0,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group B,1994-06-24,19:30,Pontiac Silverdome,Pontiac,Sweden,Russia,3,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group B,1994-06-28,13:00,Stanford Stadium,Stanford,Russia,Cameroon,6,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group B,1994-06-28,16:00,Pontiac Silverdome,Pontiac,Brazil,Sweden,1,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Group C,1994-06-17,14:00,Soldier Field,Chicago,Germany,Bolivia,1,0,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Group C,1994-06-17,18:30,Cotton Bowl,Dallas,Spain,South Korea,2,2,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Group C,1994-06-21,15:00,Soldier Field,Chicago,Germany,Spain,1,1,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Group C,1994-06-23,19:30,Foxboro Stadium,Foxborough,South Korea,Bolivia,0,0,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Group C,1994-06-27,15:00,Soldier Field,Chicago,Bolivia,Spain,1,3,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
