year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,yellow_cards,red_cards,source_url
2006,Group A,2006-06-09,18:00,Allianz Arena,Munich,Germany,Costa Rica,4,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group A,2006-06-09,21:00,Veltins-Arena (Arena AufSchalke),Gelsenkirchen,Poland,Ecuador,0,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group A,2006-06-14,21:00,Westfalenstadion,Dortmund,Germany,Poland,1,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group A,2006-06-15,15:00,Volksparkstadion,Hamburg,Ecuador,Costa Rica,3,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group A,2006-06-20,16:00,Olympiastadion,Berlin,Ecuador,Germany,0,3,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group A,2006-06-20,16:00,Niedersachsenstadion,Hanover,Costa Rica,Poland,1,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A
2006,Group B,2006-06-10,15:00,Commerzbank-Arena (Waldstadion),Frankfurt,England,Paraguay,1,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group B,2006-06-10,18:00,Westfalenstadion,Dortmund,Trinidad and Tobago,Sweden,0,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group B,2006-06-15,18:00,Frankenstadion,Nuremberg,England,Trinidad and Tobago,2,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group B,2006-06-15,21:00,Olympiastadion,Berlin,Sweden,Paraguay,1,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group B,2006-06-20,21:00,RheinEnergieStadion,Cologne,Sweden,England,2,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group B,2006-06-20,21:00,Fritz-Walter-Stadion,Kaiserslautern,Paraguay,Trinidad and Tobago,2,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B
2006,Group C,2006-06-10,21:00,Volksparkstadion,Hamburg,Argentina,Ivory Coast,2,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group C,2006-06-11,15:00,Zentralstadion,Leipzig,Serbia and Montenegro,Netherlands,0,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group C,2006-06-16,15:00,Veltins-Arena (Arena AufSchalke),Gelsenkirchen,Argentina,Serbia and Montenegro,6,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group C,2006-06-16,18:00,Gottlieb-Daimler-Stadion,Stuttgart,Netherlands,Ivory Coast,2,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group C,2006-06-21,21:00,Commerzbank-Arena (Waldstadion),Frankfurt,Netherlands,Argentina,0,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group C,2006-06-21,21:00,Allianz Arena,Munich,Ivory Coast,Serbia and Montenegro,3,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C
2006,Group D,2006-06-11,18:00,Frankenstadion,Nuremberg,Mexico,Iran,3,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group D,2006-06-11,21:00,RheinEnergieStadion,Cologne,Angola,Portugal,0,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group D,2006-06-16,21:00,Niedersachsenstadion,Hanover,Mexico,Angola,0,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group D,2006-06-17,15:00,Commerzbank-Arena (Waldstadion),Frankfurt,Portugal,Iran,2,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group D,2006-06-21,16:00,Veltins-Arena (Arena AufSchalke),Gelsenkirchen,Portugal,Mexico,2,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group D,2006-06-21,16:00,Zentralstadion,Leipzig,Iran,Angola,1,1,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D
2006,Group E,2006-06-12,18:00,Veltins-Arena (Arena AufSchalke),Gelsenkirchen,United States,Czech Republic,0,3,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E
2006,Group E,2006-06-12,21:00,Niedersachsenstadion,Hanover,Italy,Ghana,2,0,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E
2006,Group E,2006-06-17,18:00,RheinEnergieStadion,Cologne,Czech Republic,Ghana,0,2,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E
